# AEGIS V2 Universe Manifest — 2026-04-04 — Source: config/contracts.toml
symbol,exchange,sec_type,currency,leverage,sector
ABI,AEB,STK,EUR,1,Consumer
ADYEN,AEB,STK,EUR,1,Finance
ASML,AEB,STK,EUR,1,Semiconductors
INGA,AEB,STK,EUR,1,Finance
PHIA,AEB,STK,EUR,1,Healthcare
A2M,ASX,STK,AUD,1,Unknown
AIA,ASX,STK,AUD,1,Unknown
ALD,ASX,STK,AUD,1,Unknown
ALQ,ASX,STK,AUD,1,Unknown
ANN,ASX,STK,AUD,1,Unknown
ANZ,ASX,STK,AUD,1,Finance
APE,ASX,STK,AUD,1,Unknown
ARB,ASX,STK,AUD,1,Unknown
ARF,ASX,STK,AUD,1,Unknown
ASX,ASX,STK,AUD,1,Unknown
AZJ,ASX,STK,AUD,1,Unknown
BAP,ASX,STK,AUD,1,Unknown
BGA,ASX,STK,AUD,1,Unknown
BHP,ASX,STK,AUD,1,Mining
BOQ,ASX,STK,AUD,1,Unknown
BPT,ASX,STK,AUD,1,Unknown
BRG,ASX,STK,AUD,1,Unknown
BRN,ASX,STK,AUD,1,Unknown
BSL,ASX,STK,AUD,1,Unknown
BWP,ASX,STK,AUD,1,Unknown
BXB,ASX,STK,AUD,1,Unknown
CAR,ASX,STK,AUD,1,Unknown
CBA,ASX,STK,AUD,1,Finance
CCP,ASX,STK,AUD,1,Unknown
CCX,ASX,STK,AUD,1,Unknown
CGF,ASX,STK,AUD,1,Unknown
CHC,ASX,STK,AUD,1,Unknown
CHN,ASX,STK,AUD,1,Unknown
CIP,ASX,STK,AUD,1,Unknown
CKF,ASX,STK,AUD,1,Unknown
CMW,ASX,STK,AUD,1,Unknown
CNI,ASX,STK,AUD,1,Unknown
CNU,ASX,STK,AUD,1,Unknown
COH,ASX,STK,AUD,1,Unknown
COL,ASX,STK,AUD,1,Unknown
CPU,ASX,STK,AUD,1,Unknown
CQR,ASX,STK,AUD,1,Unknown
CRN,ASX,STK,AUD,1,Unknown
CSL,ASX,STK,AUD,1,Healthcare
CTD,ASX,STK,AUD,1,Unknown
CUV,ASX,STK,AUD,1,Unknown
CWY,ASX,STK,AUD,1,Unknown
CXO,ASX,STK,AUD,1,Unknown
DMP,ASX,STK,AUD,1,Unknown
DRR,ASX,STK,AUD,1,Unknown
DXS,ASX,STK,AUD,1,Unknown
EDV,ASX,STK,AUD,1,Unknown
ELD,ASX,STK,AUD,1,Unknown
EVN,ASX,STK,AUD,1,Unknown
EVT,ASX,STK,AUD,1,Unknown
FBU,ASX,STK,AUD,1,Unknown
